completed,oid,taxon,mbNumber,guid,CORRECT_taxon,taxonomicLevel,trophicMode,guild,confidenceRanking,growthForm,trait,notes,citationSource,,,,,,,,
x,58f450ee791497fd28ebdd52,Coprotus trichosurus,527631,30A46A0D-7A37-4163-B384-1A1E00E32E22,Coprotus trichosurus,20,Saprotroph,Dung Saprotroph,Highly Probable,Microfungus,NULL,NULL,"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015)",,,,,,,,
x,NULL,,311773,30A46A0D-7A37-4163-B384-1A1E00E32E22,Coprotus trichosuri,20,Saprotroph,Dung Saprotroph,Highly Probable,Microfungus,NULL,NULL,"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015)",,,,,,,,
,58f450ef791497fd28ebe5f4,Hypocarpa,NA,NA,Hypocarpa,13,Saprotroph,Dung Saprotroph,Highly Probable,NULL,NULL,NULL,"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015)",,,,,,,,
,58f450ef791497fd28ebe5f5,Hypocarpa keniensis,NA,NA,Hypocarpa keniensis,20,Saprotroph,Dung Saprotroph,Highly Probable,NULL,NULL,NULL,"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015)",,,,,,,,
,58f450ef791497fd28ebe5f6,Hypocarpa ornithophila,NA,NA,Hypocarpa ornithophila,20,Saprotroph,Dung Saprotroph,Highly Probable,NULL,NULL,NULL,"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015)",,,,,,,,
,58f450ef791497fd28ebe5f7,Hypocarpa stercoraria,NA,NA,Hypocarpa stercoraria,20,Saprotroph,Dung Saprotroph,Highly Probable,NULL,NULL,NULL,"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015)",,,,,,,,
x,58f450ef791497fd28ebf1f9,Podospora similus,100798,1CB1B692-36B9-11D5-9548-00D0592D548C,Podospora similis,20,Saprotroph,Dung Saprotroph,Highly Probable,Microfungus,NULL,NULL,"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015)",,,,,,,,
,58f450ef791497fd28ebf855,Sporomiella australis,323866,,Sporormiella australis,20,Saprotroph,Dung Saprotroph,Highly Probable,NULL,NULL,NULL,"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015)",,,,,,,,
,58f8e06b734d1d3bdb40e037,Acaromyces,28756, 917A0E1A-8624-480C-A296-2862B8E2384A,Acaromyces,13,Pathotroph,Animal Pathogen,Highly Probable,Yeast,NULL,"An anamorphic fungus isolated from cadavers of the citrus rust mite infesting grapefruit (C. paradisi) leaves - similar to the yeast-like fungi classified in the Ustilaginales, such as Pseudozyma species (Boekhout et al. 2003)","Boekhout T, et al. 2003. International Journal of Systematic and Evolutionary Microbiology 53:1655-1664 ((https://doi.org/10.1099/ijs.0.02434-0))",,,,,,,,
,58f450ee791497fd28ebd846,Blastomyces,7389,"C(A027AEF8-AA5D-4273-B401-6B597E4BCDC8,DA1E0A0C-C708-477E-884D-68E157A822CD)",Blastomyces,13,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,Highly Probable,NULL,NULL,"Facultative pathogens that can cause blastomycosis - the fungus lives in the environment, particularly in moist soil and in decomposing matter such as wood and leave (http://www.cdc.gov)","Bowman BH, et al. 1992. Molecular Biology and Evolution 9:893-904 ((https://doi.org/10.1093/oxfordjournals.molbev.a040766)); https://www.cdc.gov ((https://www.cdc.gov))",,,,,,,,
,58f450ef791497fd28ebee49,Penicillium biourgianum,258517,1CDBEDDC-5040-4447-B3F3-0CEDDBF3EBF2,Penicillium biourgeianum,20,Symbiotroph,Endophyte,Probable,Microfungus,NULL,Endophyte detection method-culture (Busby et al. 2016),"Busby PE, et al. 2016. New Phytologist 209:1681-1692 ((https://doi.org/10.1111/nph.13742))",,,,,,,,
,58f450ef791497fd28ebfaf2,Trichoderma atroviride,451289,"C(7788D609-4BB5-460A-88C7-EFDAD73E7A45,2FEB3308-2C2A-11D6-BEBB-00508BCA8DE8)",Trichoderma atroviride,20,Symbiotroph,Endophyte,Probable,Microfungus,NULL,Endophyte detection method-culture (Busby et al. 2016),"Busby PE, et al. 2016. New Phytologist 209:1681-1692 ((https://doi.org/10.1111/nph.13742))",,,,,,,,
,58f450ee791497fd28ebd5a8,Anamylopsoraceae,81979,NA,Anamylopsoraceae,9,Symbiotroph,Lichenized,Highly Probable,Thallus,NULL,NULL,"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,5b4d6f03fb6fc07d5ad2771b,Aporospora,27956,NA,Aporospora,13,Saprotroph,Wood Saprotroph,Probable,Microfungus,NULL,NULL,"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,58f450ee791497fd28ebd63d,Appendicisporaceae,510505,NA,Appendicisporaceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,5981f815734d1d04a1b36c8a,Ascoporiaceae,81923,NA,Ascoporiaceae,9,Saprotroph,Wood Saprotroph,Probable,Microfungus,NULL,"Found on decorticated wood, presumably saprobic (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
,5989d919f36d28307e5ff83e,Asterothyriaceae,547009,NA,Asterothyriaceae,9,Symbiotroph,Lichenized,Highly Probable,Thallus,NULL,"Lichenized with green algae, mostly foliicolous (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",,,,,,,,
